Parliament Code,Federal Constituency,GE14_Alliance,GE14_Margin,GE15_Alliance,GE15_Margin
p180,Keningau,STAR,0.11,GRS,14.68
p181,Tenom,PH,5.09,Independent,3.88
p182,Pensiangan,BN,9.52,BN,14.63
p183,Beluran,BN,35.26,PN,5.46
p184,Libaran,BN,1.88,BN,29.12
p185,Batu Sapi,WARISAN,19.86,GRS,17.94
p186,Sandakan,PH,35.95,PH,37.13
p187,Kinabatangan,BN,44.05,BN,14.75
p189,Semporna,WARISAN,61.85,WARISAN,53.48
p190,Tawau,PH,11.06,GRS,7.76
p191,Kalabakan,WARISAN,8.63,BN,18.31
p192,Mas Gading,PH,13.43,PH,17.46
p193,Santubong,BN,58.56,GPS,74.66
p194,Petra Jaya,BN,34.97,GPS,59.81
p195,Bandar Kuching,PH,58.85,PH,45.44
p196,Stampin,PH,27.4,PH,9.71
p197,Kota Samarahan,BN,47.38,GPS,53.43
p198,Puncak Borneo,PH,11.6,GPS,26.07
p199,Serian,BN,36.12,GPS,41.77
p200,Batang Sadong,BN,72.24,GPS,66.36
p201,Batang Lupar,BN,51.0,GPS,52.48
p202,Sri Aman,BN,25.3,GPS,12.65
p203,Lubok Antu,Independent,7.28,GPS,0.52
p204,Betong,BN,39.17,GPS,42.31
p205,Saratok,PH,4.36,PN,28.62
p206,Tanjong Manis,BN,61.39,GPS,73.05
p207,Igan,BN,67.52,GPS,86.32
p208,Sarikei,PH,8.43,GPS,10.14
p209,Julau,Independent,10.56,PBM,5.95
p210,Kanowit,BN,29.15,GPS,1.34
p211,Lanang,PH,31.7,PH,21.8
p212,Sibu,PH,20.13,PH,11.77
p213,Mukah,BN,33.81,GPS,56.47
p214,Selangau,PH,2.21,GPS,17.31
p215,Kapit,BN,57.82,GPS,56.38
p216,Hulu Rajang,BN,36.39,GPS,32.06
p217,Bintulu,BN,14.8,GPS,31.49
p218,Sibuti,BN,16.43,GPS,34.63
p219,Miri,PH,23.63,PH,7.88
p220,Baram,BN,8.9,GPS,24.64
p221,Limbang,BN,44.14,GPS,50.51
p222,Lawas,BN,42.11,GPS,31.18
