Election,Parliament Code,Federal Constituency,Alliance,Majority,Percentage of Vote,Total Voters in Constituency,Margin-of-Votes,Classification
ge14,p108,Shah Alam,PH,33849,60.0,93243,36.3,Very Safe
ge14,p109,Kapar,PH,16306,44.99,106093,15.37,Safe
ge14,p110,Klang,PH,78773,77.34,127074,61.99,Very Safe
ge14,p111,Kota Raja,PH,71142,70.79,128126,55.53,Very Safe
ge14,p112,Kuala Langat,PH,17112,49.08,88097,19.42,Very Safe
ge14,p113,Sepang,PH,18705,51.56,90657,20.63,Very Safe
ge14,p114,Kepong,PH,51628,92.04,61404,84.08,Very Safe
ge14,p115,Batu,Independent,24438,60.7,62805,38.91,Very Safe
ge14,p116,Wangsa Maju,PH,24238,57.3,73608,32.93,Very Safe
ge14,p117,Segambut,PH,45702,82.07,64727,70.61,Very Safe
ge14,p118,Setiawangsa,PH,14372,56.65,60852,23.62,Very Safe
ge14,p119,Titiwangsa,PH,4139,47.31,50386,8.21,Fairly Safe
ge14,p120,Bukit Bintang,PH,37260,84.94,52408,71.1,Very Safe
ge14,p121,Lembah Pantai,PH,5598,50.24,66305,8.44,Fairly Safe
ge14,p122,Seputeh,PH,56059,89.97,70129,79.94,Very Safe
ge14,p123,Cheras,PH,49665,89.0,63677,78.0,Very Safe
ge14,p124,Bandar Tun Razak,PH,19930,58.58,70206,28.39,Very Safe
ge14,p125,Putrajaya,BN,3372,49.47,24558,13.73,Safe
ge14,p126,Jelebu,BN,2045,48.93,38957,5.25,Marginal
ge14,p127,Jempol,BN,1631,46.83,57274,2.85,Marginal
ge14,p128,Seremban,PH,30694,60.45,91818,33.43,Very Safe
ge14,p129,Kuala Pilah,PH,200,44.85,40237,0.5,Marginal
ge14,p130,Rasah,PH,46867,72.45,85307,54.94,Very Safe
ge14,p131,Rembau,BN,4364,48.87,73856,5.91,Marginal
ge14,p132,Port Dickson,PH,23560,72.06,43039,54.74,Very Safe
ge14,p133,Tampin,PH,1002,46.29,48466,2.07,Marginal
ge14,p134,Masjid Tanah,BN,8159,54.1,42325,19.28,Very Safe
ge14,p135,Alor Gajah,PH,6980,50.73,57815,12.07,Safe
ge14,p136,Tangga Batu,PH,4659,46.89,69142,6.74,Fairly Safe
ge14,p137,Hang Tuah Jaya,PH,8640,51.01,76583,11.28,Safe
ge14,p138,Kota Melaka,PH,49175,72.68,105276,46.71,Very Safe
ge14,p139,Jasin,BN,219,43.0,61761,0.35,Marginal
ge14,p140,Segamat,PH,5476,53.09,45320,12.08,Safe
ge14,p141,Sekijang,PH,1281,51.69,37837,3.39,Marginal
ge14,p142,Labis,PH,3408,52.17,32030,10.64,Safe
ge14,p143,Pagoh,PH,6927,55.21,42672,16.23,Safe
ge14,p144,Ledang,PH,8666,53.06,65414,13.25,Safe
ge14,p145,Bakri,PH,23211,62.65,61800,37.56,Very Safe
ge14,p146,Muar,PH,6953,53.09,42083,16.52,Safe
ge14,p147,Parit Sulong,BN,6341,49.19,49769,12.74,Safe
ge14,p148,Ayer Hitam,BN,303,43.98,38824,0.78,Marginal
ge14,p149,Sri Gading,PH,3288,48.58,44282,7.43,Fairly Safe
ge14,p150,Batu Pahat,PH,17894,55.92,82137,21.79,Very Safe
ge14,p151,Simpang Renggam,PH,3475,50.69,35822,9.7,Fairly Safe
ge14,p152,Kluang,PH,23053,59.2,80531,28.63,Very Safe
ge14,p153,Sembrong,BN,6662,59.24,36044,18.48,Safe
ge14,p154,Mersing,BN,8459,53.0,37368,22.64,Very Safe
ge14,p155,Tenggara,BN,5933,54.39,37034,16.02,Safe
ge14,p156,Kota Tinggi,BN,14621,69.14,38193,38.28,Very Safe
ge14,p157,Pengerang,BN,11417,67.71,32241,35.41,Very Safe
ge14,p158,Tebrau,PH,37225,62.09,103943,35.81,Very Safe
